,Rate,Votes,Duration,A_Severe,Approved,Passed,PG,F_No.Rate,N_Mild,Series,V_Mild,Predicted
374,5.5,97452,91,0,0,0,0,0,0,0,0,6.442830876
375,6,3896,95,0,0,0,0,1,0,0,0,5.895542648
382,7.2,113982,30,0,0,0,0,0,0,1,0,7.713245766
385,8.3,77842,50,0,0,0,0,0,1,1,1,7.746935946
389,6.8,102320,121,0,0,0,1,0,1,0,0,6.60365016
390,7.3,255946,77,0,0,0,1,0,0,0,1,6.917259298
399,5.2,785,123,0,0,0,0,0,0,0,0,6.352560205
405,7.8,16898,60,0,0,0,0,0,0,1,1,7.710135674
409,8.4,228494,46,0,0,0,0,0,1,1,0,7.942638422
428,6.7,160987,99,0,0,0,0,0,1,0,0,6.543526831
429,5.2,44058,103,0,0,0,0,0,1,0,1,6.415708754
438,8,150837,106,0,0,0,1,0,1,0,1,6.746934881
443,8.6,91933,44,0,0,0,0,0,1,1,0,7.661221129
449,8.3,39012,30,0,0,0,0,0,1,1,0,7.509051156
465,6.4,176046,113,0,0,0,0,0,0,0,0,6.672760598
468,8,160208,22,0,0,0,0,0,0,1,1,7.874738704
476,7.7,4206,30,0,0,0,0,0,0,1,1,7.586786678
484,8,5938,60,0,0,0,0,0,0,1,0,7.593553194
486,5.9,91482,95,0,0,0,0,0,1,0,0,6.390573266
492,7.8,283528,113,0,0,0,0,0,1,0,0,6.835841864
507,7.4,162566,42,0,0,0,0,0,0,1,1,7.944685358
510,7.5,196137,85,0,0,0,0,0,0,0,0,6.621923781
532,6.4,11028,49,0,0,0,0,0,1,1,0,7.514659364
537,6.7,624,25,0,0,0,0,1,0,1,0,7.096756112
542,6.2,526291,139,0,0,0,0,0,1,0,0,7.409283783
544,7.3,680014,134,0,0,0,0,0,0,0,0,7.755708182
545,8.2,124247,40,0,0,0,0,0,1,1,1,7.807749211
557,5.5,331,111,0,0,0,0,1,0,0,0,5.940526303
558,6.9,224807,92,0,0,0,0,0,0,0,0,6.702456491
603,6.3,203315,119,0,0,0,0,0,0,0,0,6.747213095
620,7.1,65518,106,0,0,0,0,0,0,0,0,6.427447734
631,7.5,271324,60,1,0,0,0,0,0,1,0,8.290375212
634,6.1,28148,153,0,0,0,0,1,0,0,0,6.133441924
637,8.5,239663,44,0,0,0,0,0,0,1,0,8.011881619
638,7.2,66488,133,0,0,0,0,0,0,0,0,6.517420344
651,7.3,1987,60,1,0,0,0,0,0,1,0,7.748199831
652,5.8,69868,86,0,0,0,0,0,1,0,0,6.317724284
655,6.6,197140,88,1,0,0,0,0,0,0,0,6.79632282
673,7.3,132494,97,0,0,0,0,0,1,0,0,6.479650422
691,8.3,781141,170,1,0,0,0,0,0,0,0,8.239236833
706,7.5,31648,30,0,0,0,0,1,0,1,0,7.175507424
708,8.5,124835,15,0,0,0,0,0,0,1,0,7.686192855
732,8.7,127144,60,1,0,0,0,0,0,1,0,8.000140872
743,6.5,2065,35,0,0,0,0,0,0,1,0,7.504256845
764,7.8,332257,94,0,0,0,0,0,1,0,1,6.966513341
765,7.3,90668,94,0,0,0,1,0,1,0,1,6.586694684
782,8.4,103243,48,0,0,0,0,0,1,1,0,7.697028159
785,6.9,417971,143,0,0,0,0,0,0,0,0,7.257555623
795,7.5,647690,115,0,0,0,0,0,0,0,0,7.62869997
807,6.6,75796,96,0,0,0,0,0,0,0,0,6.415537348
810,7.8,63508,42,0,0,0,0,0,1,1,0,7.597481604
829,8.4,919273,115,0,0,0,1,0,1,0,0,8.228616549
837,7.5,62197,126,0,0,0,0,0,1,0,0,6.432682561
844,6.9,785169,124,0,0,0,0,0,1,0,0,7.881505197
846,8.3,29541,45,0,0,0,0,0,1,1,0,7.538886033
858,8.1,128983,145,0,0,0,0,0,0,0,0,6.682342779
861,7.6,527291,162,0,0,0,0,0,0,0,0,7.539556783
905,8.4,22477,60,0,0,0,0,0,0,1,0,7.626846201
906,7.8,597089,100,0,0,0,0,0,0,0,0,7.477940157
910,8.2,25350,44,0,0,0,0,0,1,1,0,7.52718955
919,8.6,109313,55,0,0,0,0,0,0,1,0,7.785347069
927,6.4,103008,106,0,0,0,0,0,1,0,0,6.449635104
932,7.8,52649,56,0,0,0,0,0,0,1,0,7.674542437
938,7.8,116172,44,0,0,0,0,0,1,1,0,7.710014236
956,7.6,2176,60,0,0,0,0,1,0,1,0,7.213980288
958,7.9,265586,122,0,0,0,0,0,0,0,1,6.976864618
980,7.9,213379,87,0,0,0,1,0,0,0,1,6.864171927
982,8.5,141410,25,0,0,0,0,0,1,1,1,7.79339833
988,8,48540,296,0,0,0,0,0,0,1,0,8.44867102
996,7.2,351305,132,0,0,0,0,0,1,0,0,7.034216965
1003,8.9,98568,24,0,0,0,0,0,0,1,0,7.662657384
1010,6.8,138614,116,0,0,0,0,0,1,0,1,6.648429982
1014,7.5,368986,125,0,0,0,0,0,0,0,0,7.100268818
1032,6.7,69025,90,1,0,0,0,0,0,0,1,6.639467325
1053,7.7,4363,50,0,0,0,0,0,1,1,0,7.504502719
1054,8.1,67625,328,0,0,0,0,0,1,1,1,8.632649125
1056,7.7,49671,60,0,0,0,0,0,1,1,0,7.628307723
1064,7.4,589260,104,0,0,0,0,0,1,0,0,7.42194038
1065,6.7,349098,106,0,0,0,0,0,0,0,0,6.998294274
1102,7.5,234272,45,0,0,0,0,0,1,1,0,7.951009536
1103,5.5,6680,103,0,0,0,0,0,0,0,1,6.39374684
1108,7.5,634465,146,0,0,0,0,0,1,0,0,7.649858045
1117,7.6,543896,88,0,0,0,0,0,1,0,0,7.278462648
1132,7.5,99655,97,0,0,0,0,0,0,0,0,6.466825515
1133,6.2,284218,128,0,0,0,0,0,0,0,0,6.939410834
1196,7.6,236664,124,0,0,0,0,0,0,0,0,6.830644632
1207,8.1,11716,43,0,0,0,0,0,0,1,0,7.549764308
1208,7.9,63265,30,0,0,0,0,0,0,1,1,7.705672445
1218,6.9,245698,128,0,0,0,1,0,0,0,1,7.062890074
1220,6.2,58020,99,0,0,0,0,0,0,0,0,6.38953426
1224,4.4,76180,92,0,0,0,0,0,0,0,0,6.40327034
1241,7.2,280324,129,0,0,0,0,0,0,0,0,6.934832212
1251,6.7,250,138,0,0,0,0,0,1,0,1,6.44162325
1255,6.8,630536,112,0,0,0,0,0,1,0,0,7.531108968
1264,8,822248,107,0,0,0,0,0,0,0,0,7.954005224
1270,9.1,23812,45,0,0,0,0,0,0,1,1,7.675153556
1286,7,30822,79,0,0,0,0,0,1,0,1,6.310824686
1297,7.5,168896,81,0,0,0,0,0,1,0,0,6.500767648
1320,7.9,41518,60,0,0,0,0,0,1,1,0,7.611895734
1321,8.1,644973,98,0,0,0,0,0,0,0,0,7.567810649
1326,6.2,163583,128,0,0,0,0,0,1,0,0,6.643292579
1329,5.3,26809,121,0,0,0,0,0,1,0,0,6.345146517
1333,6.3,206127,107,0,0,0,0,0,1,0,0,6.660473651
1371,6.3,87392,94,0,0,0,0,0,1,0,0,6.379080096
1376,6.2,20576,43,0,0,0,0,0,1,1,0,7.514319488
1382,6.3,48670,93,0,0,0,0,0,0,0,0,6.35115271
1384,8,229,108,0,0,0,0,0,0,0,0,6.302540977
1397,5.8,204827,118,0,0,0,0,0,0,0,0,6.746996751
1402,7,10068,27,0,0,0,0,0,0,1,0,7.494286884
1405,7.6,208408,147,0,0,0,0,0,0,0,0,6.848745304
1409,7.4,301176,116,0,0,0,0,0,0,0,0,6.934427288
1430,6.9,207155,96,0,0,0,1,0,1,0,1,6.827703015
1461,6.5,2265,21,0,0,0,0,0,0,1,1,7.553539445
1465,6.7,146923,125,0,0,0,0,0,0,0,0,6.653255999
1473,7.6,3447,60,0,0,0,0,1,0,1,0,7.216538811
1477,6.6,40835,114,0,0,0,0,0,1,0,0,6.350560855
1487,7.5,331875,154,0,0,0,0,0,1,0,0,7.066824375
1494,5.8,48110,97,0,0,0,0,0,1,0,1,6.40430543
1508,8,36173,22,0,0,0,0,0,0,1,1,7.625056249
1511,6.1,39203,108,0,0,0,0,0,1,0,0,6.327715639
1535,8.2,553012,138,0,0,0,0,0,0,0,0,7.513093156
1538,7,84102,91,0,0,0,0,0,0,0,0,6.415957326
1565,8.3,1958,13,0,0,0,0,0,1,1,0,7.379041454
1588,6.9,47061,91,0,0,0,1,0,0,0,0,6.447893793
1593,8.4,44360,44,0,0,0,0,0,1,1,1,7.65997668
1595,5.3,122994,107,0,0,0,0,0,1,0,0,6.493126922
1600,7.7,664240,131,0,0,0,0,0,1,0,0,7.66089512
1605,7.5,141034,149,0,0,0,0,0,1,0,0,6.666361442
1608,6.6,58358,99,0,0,0,0,0,0,0,0,6.390214654
1617,6.9,50204,135,1,0,0,0,0,0,0,1,6.748280652
1644,6.6,431328,123,0,0,0,0,0,0,0,0,7.219243264
1656,6.5,799,60,0,0,0,0,1,0,1,0,7.211208387
1681,6.8,2513,106,0,0,0,0,1,0,0,0,5.928618669
1698,6.6,175424,108,0,0,0,0,0,1,0,1,6.696448512
1705,6.9,199104,88,0,0,0,0,0,0,0,0,6.637676352
1707,7.2,361187,138,0,0,0,0,0,1,0,0,7.073669431
1712,7.7,49800,60,0,0,0,0,0,0,1,0,7.6818474
1719,7.1,143462,108,0,0,0,1,0,0,0,1,6.791889006
1721,7.6,6406,60,0,0,0,0,1,0,1,0,7.222495278
1722,7.1,199352,117,0,0,0,0,0,0,0,1,6.827235576
1732,5.1,5636,44,0,0,0,0,1,0,1,0,7.168785268
1738,8.1,986509,100,0,0,0,0,0,0,0,1,8.356362617
1774,7.9,17212,60,0,0,0,0,0,0,1,0,7.616247756
1837,7.8,1054,179,0,0,0,0,1,0,0,0,6.163661702
1853,6.2,14713,120,0,0,0,0,0,0,0,1,6.465337269
1862,7.1,638,136,0,0,0,0,1,0,0,0,6.022644294
1870,5.8,364536,158,0,0,0,0,0,1,0,0,7.145610968
1887,8.4,1045683,98,0,0,0,0,0,0,0,1,8.468959879
1893,7.5,109373,137,0,0,0,0,0,0,0,0,6.616787849
1898,7.6,281533,140,0,0,0,1,0,1,0,0,7.026345929
1900,6.5,123707,109,0,0,0,0,0,0,0,0,6.554362191
1902,5.6,160906,113,0,0,0,0,0,1,0,0,6.589003778
1905,6.6,219871,136,0,0,0,0,0,1,0,0,6.782680323
1908,6.8,225161,98,0,0,0,0,0,0,0,0,6.722729093
1917,8.1,55108,60,0,0,0,0,0,0,1,0,7.692532404
1919,8.7,16038,80,0,0,0,0,0,0,1,1,7.773604494
1930,6.7,374835,110,0,0,0,0,0,0,0,0,7.063142855
1940,7.5,56301,60,0,0,0,0,0,0,1,0,7.694933913
1956,6.3,53644,98,0,0,0,0,0,1,0,0,6.324185372
1963,7.1,10873,50,0,0,0,0,0,1,1,0,7.517607349
1972,8.2,310372,130,0,0,0,0,0,0,0,0,6.998578836
1985,5.8,111229,92,0,0,0,0,0,1,0,0,6.420543977
1989,6.9,130763,122,0,0,0,0,0,0,0,0,6.610945919
1990,8.6,329876,207,0,0,0,0,0,1,0,1,7.330100388
1998,6.3,122266,81,0,0,0,0,0,1,0,0,6.406901458
2002,6.2,6773,82,0,0,0,0,0,0,0,1,6.325474049
2016,7.9,403984,107,1,0,0,0,0,1,0,0,7.221359792
2017,6.3,163364,126,0,0,0,0,0,1,0,0,6.636331732
2020,6.1,146693,118,0,0,0,0,0,1,0,0,6.576693009
2036,7.4,254285,96,0,0,0,0,0,0,0,1,6.869355705
2046,5.6,49362,99,1,0,0,0,0,0,0,0,6.534705706
2073,7.8,68780,70,0,0,1,0,0,0,0,1,7.82117414
2076,5.9,136839,125,0,0,0,1,0,0,0,1,6.833976907
2089,7.7,103681,109,0,0,0,0,0,0,0,0,6.514049853
2098,7,89585,106,0,0,0,0,0,0,0,1,6.570414605
2101,7.7,131978,93,0,0,0,0,0,1,0,1,6.560091714
2121,6.8,11160,60,0,0,0,0,0,1,1,1,7.64530508
2122,7.7,133384,131,0,0,0,0,0,1,0,0,6.592281992
2133,6.2,142709,111,0,0,0,0,0,1,0,0,6.545853217
2139,6.5,194992,99,0,0,0,0,0,1,0,0,6.611978896
2144,7.9,26348,60,0,0,0,0,0,0,1,1,7.729158524
2151,7.5,112851,111,0,0,0,0,0,1,0,0,6.485749063
2155,6.7,253460,107,0,0,0,0,0,1,0,0,6.75575498
2165,7.3,243702,114,0,0,0,0,0,1,0,0,6.758932126
2176,7.4,8729,30,0,0,0,0,0,0,1,0,7.501371477
2186,7.5,13587,30,0,0,0,0,0,1,1,0,7.457870631
2187,6.4,20172,108,0,0,0,0,0,0,0,0,6.342686236
2195,8.2,15401,60,0,0,0,0,0,0,1,0,7.612602213
2210,7.7,201021,129,0,0,0,0,0,0,0,0,6.775195273
2226,7.3,173524,127,0,0,0,0,0,1,0,0,6.660043812
2227,8,43122,35,0,0,0,0,0,0,1,1,7.681424586
2228,7.8,61510,30,0,0,0,0,0,1,1,0,7.55433963
2232,4.4,10808,97,0,0,0,0,0,1,0,0,6.234696504
2236,4.4,80935,101,0,0,0,0,0,1,0,0,6.388902155
2250,5.5,11467,94,0,0,0,0,0,0,0,0,6.279523071
2273,7.8,279990,130,0,0,0,0,0,1,0,0,6.88413987
2325,5.6,39648,116,0,0,0,0,0,0,0,0,6.407971424
2326,7.1,1497,45,0,0,0,0,1,0,1,0,7.163713461
2338,7.8,87180,108,0,0,0,1,0,0,0,1,6.67859334
2346,6.9,88373,106,0,0,0,1,0,1,0,0,6.526674849
2347,7.3,401871,106,0,0,0,0,0,1,0,0,7.051246323
2352,6.2,202335,94,0,0,0,0,0,0,0,0,6.663740355
2464,8.6,8691,25,0,0,0,0,0,0,1,0,7.484994983
2466,5.9,67797,106,0,0,0,0,0,0,0,0,6.432035361
2473,6.9,62539,116,0,0,0,0,0,0,0,0,6.454051007
2475,5.3,478,96,0,1,0,0,1,0,0,0,6.712922214
2476,6.1,155357,90,0,0,0,0,0,1,0,1,6.597373641
2483,7.2,65455,95,0,0,0,0,0,1,0,0,6.338180915
2509,8,225250,118,0,0,0,0,0,1,0,1,6.82934825
2527,7.4,116,108,0,0,0,0,0,0,0,0,6.302313508
2531,5.5,217,30,0,0,0,0,1,0,1,0,7.112236821
2532,7.6,270157,118,0,0,0,1,0,0,0,1,7.079526041
2536,7,44144,107,1,0,0,0,0,0,0,0,6.550281872
2540,6.6,25093,91,0,0,0,0,0,0,0,0,6.297172209
2552,8.3,49495,42,1,0,0,0,0,1,1,0,7.731873435
2558,7.7,335819,100,0,0,0,1,0,0,0,1,7.153023647
2571,9,2991,124,0,0,0,0,1,0,0,0,5.988260883
2589,7,311475,127,0,0,0,0,0,1,0,1,7.032259175
2651,5.6,55477,93,0,0,0,0,0,0,0,0,6.364855201
2652,6.1,74304,94,0,0,0,0,0,0,0,0,6.406013952
2667,6.8,78028,97,0,0,0,0,0,1,0,1,6.464530364
2669,5.9,305663,92,0,0,0,0,0,0,0,0,6.865219619
2683,5.1,5781,22,0,0,0,0,0,1,1,0,7.416077153
2688,7,353949,111,0,0,0,0,0,1,0,1,7.065599337
2695,6.8,44191,100,0,0,0,1,0,0,0,1,6.565976483
2703,7.2,61325,118,0,0,0,0,0,1,0,1,6.499367225
2705,7.2,3971,89,0,0,0,0,0,0,0,0,6.248133623
2706,5.5,92956,104,0,0,0,0,0,1,0,0,6.422880428
2710,7.6,246595,109,0,0,0,0,0,0,0,0,6.801735735
2716,6.2,24583,102,0,0,0,0,0,0,0,0,6.332005579
2718,6.7,191993,109,0,0,0,1,0,0,0,1,6.892841909
2723,8.2,83444,139,0,0,0,0,0,1,0,0,6.517832772
2735,6.7,208016,117,0,0,0,0,0,1,0,0,6.696876208
2738,7,42120,22,0,0,0,0,0,1,1,0,7.48922756
2745,7.7,397271,101,0,0,0,1,0,0,0,1,7.279986523
2748,8.2,16766,30,0,0,0,0,0,1,1,0,7.464269958
2751,6.9,72120,102,0,0,0,1,0,1,0,1,6.57543756
2759,6.7,82208,130,0,0,0,1,0,0,0,0,6.645784704
2771,3.4,7411,30,0,0,0,0,0,1,1,1,7.539958343
2774,7.7,12533,30,0,0,0,0,0,1,1,0,7.455748929
2778,8.6,28508,40,0,0,0,0,0,0,1,1,7.668306604
2779,7.1,114869,130,0,0,0,0,0,1,0,0,6.551751297
2781,5.9,130442,130,0,0,0,0,0,0,0,0,6.636379746
2783,8.5,16088,25,0,0,0,0,0,0,1,0,7.499885144
2785,7.6,103448,111,0,0,0,0,0,0,0,0,6.520100824
2792,7.4,7080,30,0,0,0,0,1,0,1,0,7.12605204
2808,6,151181,98,0,0,0,0,0,1,0,0,6.520527353
2834,7.8,352178,116,1,0,0,0,0,1,0,0,7.146414314
2840,7.6,108082,101,0,0,0,0,0,1,0,0,6.443549066
2869,5.7,57549,113,0,0,0,0,0,0,0,0,6.434226137
2878,6.6,96200,129,0,0,0,0,0,0,0,0,6.5641906
2894,7.7,247155,141,0,0,0,0,0,1,0,0,6.853903015
2903,7.5,90626,128,0,0,0,0,0,0,0,0,6.549710138
2907,5.5,166954,104,0,0,0,0,0,0,0,0,6.625118402
2909,6.5,4215,30,0,0,0,0,0,1,1,1,7.533524795
2914,7.4,53727,60,0,0,0,0,0,0,1,0,7.689752451
2915,6.8,32007,45,0,0,0,0,1,0,1,1,7.319650091
2916,7.3,5835,60,0,0,0,0,1,0,1,0,7.221345855
2918,6.4,33208,102,0,0,0,0,0,1,0,0,6.296087704
2922,7.9,92629,94,0,0,0,0,0,0,0,1,6.537422177
2926,7.4,190513,78,0,0,0,0,0,0,0,1,6.682302669
2933,6.9,6726,30,0,0,0,0,0,0,1,1,7.591859438
2940,6.4,92138,146,0,0,0,0,0,0,0,0,6.611433794
2942,6.9,38191,99,0,0,0,0,0,0,0,0,6.349618483
2959,7.5,22922,30,0,0,0,0,0,1,1,1,7.571181986
2963,6.2,80152,111,0,0,0,0,0,1,0,0,6.419925976
2980,5.6,95141,90,0,0,0,0,0,0,0,0,6.434918833
2983,6.4,55877,103,0,0,0,0,0,1,0,0,6.344980401
2990,7,54235,129,0,0,0,0,1,0,0,0,6.107715055
3001,5.9,48261,84,0,0,0,0,0,0,0,0,6.320989393
3002,5.8,114851,102,0,0,0,0,0,0,0,0,6.513715063
3003,6.4,71634,112,0,0,0,0,0,1,0,1,6.500559242
3025,6.1,2855,50,0,0,0,0,0,1,1,0,7.501467115
3026,8.2,312336,86,0,0,0,0,0,0,0,0,6.859092368
3042,7.8,133265,121,0,0,0,0,0,0,0,0,6.612722445
3048,6.9,60263,122,0,0,0,0,0,1,0,0,6.415749419
3056,7,144995,112,0,0,0,1,0,0,0,1,6.808014935
3065,7.2,7117,60,0,0,0,0,0,0,1,1,7.690446521
3072,6.2,138664,97,1,0,0,0,0,1,0,0,6.654670632
3078,9.1,91862,80,0,0,0,0,0,1,1,1,7.872958206
3081,8.8,5743,80,0,0,0,0,0,0,1,0,7.658360659
3087,4.4,34394,115,0,0,0,1,0,1,0,0,6.447355122
3107,7.2,1847,90,0,0,0,0,1,0,1,0,7.311118011
3108,7.2,80895,100,0,0,0,0,0,0,0,0,6.438841635
3134,4.8,11784,95,0,0,0,0,0,0,0,0,6.283421192
3136,6.5,7458,60,0,0,0,0,1,0,1,0,7.224612954
3160,7.7,90544,202,0,0,0,0,0,1,0,0,6.737505072
3170,6.4,101446,104,0,0,0,0,0,0,0,0,6.493250798
3176,6,4548,117,1,0,0,0,0,1,0,1,6.544415124
3179,6.5,122648,96,0,0,0,0,0,1,0,1,6.551090424
3188,4,323,71,0,0,0,0,1,0,0,0,5.810110199
3199,6.7,174403,133,0,0,0,0,0,0,0,0,6.734653239
3204,7.3,5352,31,0,0,0,0,0,0,1,0,7.497833576
3209,5.7,88247,101,0,0,0,0,0,1,0,0,6.403621211
3213,8.6,3932,148,0,0,0,0,1,0,0,0,6.068395116
3227,5.9,105041,124,0,0,0,0,0,1,0,0,6.512407533
3238,6.9,13029,30,0,0,0,0,0,0,1,0,7.510027377
3243,7,60844,93,0,0,0,0,0,1,0,0,6.322378972
3252,7.6,10056,149,0,0,0,0,0,1,0,1,6.497222728
3253,6.7,116739,98,0,0,0,0,0,0,0,0,6.504475607
3269,7,31298,192,0,0,0,0,0,0,0,1,6.733442874
3280,7.3,91531,130,0,0,0,0,0,0,0,1,6.652571903
3298,5.9,3625,185,0,0,0,0,1,1,1,0,7.571117125
3319,5.5,2996,92,0,0,0,0,1,0,0,0,5.883950948
3320,5.6,114014,95,0,0,0,0,0,1,0,0,6.435930182
3324,6.4,53794,114,0,0,0,0,0,0,0,0,6.429927322
3337,6.1,55435,116,0,0,0,0,0,0,0,0,6.439750655
3338,7.6,9495,13,0,0,0,0,1,0,0,0,5.639493435
3342,7.5,13551,60,0,0,0,0,1,1,1,1,7.278118163
3363,8.4,83570,25,0,0,0,0,0,0,1,1,7.73024641
3365,7.7,7915,45,0,0,0,0,1,0,1,0,7.176632895
3370,6,14245,30,0,0,0,0,0,1,1,0,7.459195185
3374,5.4,88890,110,0,0,0,0,0,1,0,1,6.52877557
3380,7.3,381850,98,0,0,0,1,0,1,0,1,7.18588405
3387,5.7,30594,98,0,0,0,0,0,0,0,0,6.331065722
3390,6.7,116736,128,0,0,0,0,0,0,0,0,6.602269568
3406,8.6,24327,24,0,0,0,0,0,0,1,0,7.513210251
3411,8,80451,103,0,0,0,0,0,0,0,1,6.542247863
3424,8,246494,125,0,0,0,0,0,0,0,0,6.853692422
3444,6.9,43105,119,0,0,0,0,0,0,0,0,6.424710365
3454,5.2,89100,107,0,0,0,0,0,1,0,0,6.4248983
3456,7.5,84879,108,0,0,0,0,0,0,0,1,6.567461427
3490,5.3,3077,107,0,0,0,0,0,0,0,0,6.305014001
3498,7.8,19092,189,0,0,0,0,0,0,0,1,6.699092196
3502,5.7,5931,102,0,0,0,0,0,0,0,0,6.294459103
3548,7.6,423774,130,0,0,0,0,0,0,0,0,7.226857062
3553,7.4,45631,128,0,0,0,0,0,0,0,0,6.459135203
3568,8,148852,189,0,0,0,0,0,1,0,0,6.812499076
3577,6.6,5173,123,0,0,0,0,0,0,0,0,6.361393249
3588,8.2,1730,70,0,0,0,0,1,0,1,0,7.24568249
3592,6.6,99336,97,0,0,0,0,0,1,0,1,6.507423368
3603,7.2,168917,115,0,0,0,0,0,0,0,1,6.759449921
3626,7.2,10450,42,0,0,0,0,0,0,1,1,7.63847585
3637,4.8,100818,89,0,0,0,0,0,1,0,0,6.389806634
3639,6.5,81030,120,0,0,0,0,0,0,0,0,6.50431339
3668,2.3,2463,148,0,0,0,0,0,0,0,0,6.437438019
3697,7.2,79641,96,0,0,0,0,0,1,0,0,6.369997333
3699,7.4,26702,60,0,0,0,0,0,1,1,0,7.582071126
3714,7.3,1106,72,0,0,0,0,1,0,0,0,5.814946378
3770,7.4,23959,101,0,0,0,0,0,1,0,1,6.368729467
3786,5.5,110201,100,0,0,0,0,0,1,0,0,6.444554613
3792,5.1,3345,86,0,0,0,0,0,0,0,0,6.237093485
3797,7.2,407,104,0,0,0,0,1,0,0,0,5.917859291
3804,6,121826,96,0,0,0,0,0,0,0,1,6.602715738
3812,7.7,232616,125,0,0,0,0,0,1,0,0,6.772476008
3832,7.3,12945,30,0,0,0,0,0,0,1,0,7.509858285
3836,7.5,714,155,0,0,0,0,1,0,0,0,6.084737282
3850,5.6,124870,96,0,0,0,0,0,1,0,0,6.46104331
3873,8.3,25738,60,1,0,0,0,0,0,1,0,7.796010594
3875,8,617345,115,0,0,0,0,0,0,0,0,7.567615485
3879,6.6,54784,113,0,0,0,0,0,1,0,0,6.375380192
3900,7.2,66644,103,0,0,0,0,0,1,0,0,6.366654372
3904,7.3,16962,121,0,0,0,0,0,1,0,1,6.419844506
3912,3.7,11038,114,0,0,0,0,0,0,0,0,6.343859494
3918,6.4,86322,132,0,0,0,0,0,0,0,1,6.648606186
3938,4.9,95446,97,0,0,0,0,0,0,0,0,6.458352798
3939,5.8,62197,86,1,0,0,0,0,0,0,0,6.518162561
3958,6.1,221688,117,0,0,0,0,0,1,0,0,6.724397944
3959,7.6,4867,30,0,0,0,0,0,1,1,0,7.440317271
3965,6.4,227651,150,0,0,0,0,0,0,0,0,6.897261463
3970,7.3,3744,60,0,0,0,0,0,0,1,0,7.589136672
3972,8.1,12941,55,0,0,0,0,0,0,1,0,7.591350233
4004,6.5,161678,132,0,0,0,0,0,1,0,1,6.747017814
4009,5.9,130074,84,0,0,0,1,0,0,0,1,6.686698962
4022,6.2,2459,113,1,0,0,0,0,0,0,1,6.580449967
4025,7.2,2137,52,0,0,0,0,0,1,1,0,7.506541781
4037,8.6,49571,133,0,0,0,0,0,0,0,0,6.483366423
4039,5.5,53376,104,0,0,0,0,0,1,0,0,6.343205888
4040,6.8,36646,124,0,0,0,0,0,0,0,0,6.428008398
4051,6.1,53326,98,0,0,0,0,0,1,0,1,6.418065238
4053,5.9,63902,114,0,0,0,0,0,1,0,1,6.491514726
4094,6.9,69283,106,0,0,0,0,0,0,0,1,6.529546679
4112,7,76551,102,0,0,0,0,0,1,0,1,6.477857163
4126,6.8,8403,95,0,0,0,0,0,0,0,1,6.371135239
4134,6.3,195412,115,1,0,0,0,0,0,0,1,6.975384356
